EXHAUSTIVE LIST OF RELATIONS IN KNOWLEDGE GRAPH
===============================================

<http://www.wikidata.org/prop/direct/P1343> | Total Triples: 152
<http://www.wikidata.org/prop/P577> | Total Triples: 147
<http://www.wikidata.org/prop/direct/P577> | Total Triples: 142
<http://www.wikidata.org/prop/P1549> | Total Triples: 138
<http://www.wikidata.org/prop/direct/P941> | Total Triples: 134
<http://www.wikidata.org/prop/P941> | Total Triples: 134
<http://www.wikidata.org/prop/statement/P674> | Total Triples: 132
<http://www.wikidata.org/prop/P10757> | Total Triples: 129
<http://www.wikidata.org/prop/P21> | Total Triples: 128
<http://www.wikidata.org/prop/direct/P21> | Total Triples: 128
<http://www.wikidata.org/prop/direct/P10757> | Total Triples: 128
<http://www.wikidata.org/prop/direct/P527> | Total Triples: 125
<http://www.wikidata.org/prop/P527> | Total Triples: 125
<http://www.wikidata.org/prop/direct/P1080> | Total Triples: 123
<http://www.wikidata.org/prop/P1080> | Total Triples: 123
<http://www.wikidata.org/prop/P106> | Total Triples: 122
<http://www.wikidata.org/prop/direct/P463> | Total Triples: 122
<http://www.wikidata.org/prop/P463> | Total Triples: 122
<http://www.wikidata.org/prop/direct/P106> | Total Triples: 118
<http://www.wikidata.org/prop/direct/P373> | Total Triples: 106
<http://www.wikidata.org/prop/P373> | Total Triples: 106
<http://www.wikidata.org/prop/direct/P2868> | Total Triples: 104
<http://www.wikidata.org/prop/P2868> | Total Triples: 104
<http://www.wikidata.org/prop/P2936> | Total Triples: 103
<http://www.wikidata.org/prop/P460> | Total Triples: 102
<http://www.wikidata.org/prop/direct/P460> | Total Triples: 102
<http://www.wikidata.org/prop/direct/P910> | Total Triples: 100
<http://www.wikidata.org/prop/P910> | Total Triples: 100
<http://www.wikidata.org/prop/P8799> | Total Triples: 100
<http://www.wikidata.org/prop/P646> | Total Triples: 98
<http://www.wikidata.org/prop/direct/P646> | Total Triples: 98
<http://www.wikidata.org/prop/direct/P1963> | Total Triples: 93
<http://www.wikidata.org/prop/P1963> | Total Triples: 93
<http://www.wikidata.org/prop/P725> | Total Triples: 90
<http://www.wikidata.org/prop/direct/P725> | Total Triples: 90
<http://www.wikidata.org/prop/P18> | Total Triples: 87
<http://www.wikidata.org/prop/P8687> | Total Triples: 85
<http://www.wikidata.org/prop/direct/P7047> | Total Triples: 82
<http://www.wikidata.org/prop/P7047> | Total Triples: 82
<http://www.wikidata.org/prop/direct/P11196> | Total Triples: 80
<http://www.wikidata.org/prop/P11196> | Total Triples: 80
<http://www.w3.org/2000/01/rdf-schema#range> | Total Triples: 80
<http://www.wikidata.org/prop/direct/P18> | Total Triples: 80
<http://www.w3.org/2000/01/rdf-schema#domain> | Total Triples: 80
<http://www.wikidata.org/prop/direct/P407> | Total Triples: 79
<http://www.wikidata.org/prop/P407> | Total Triples: 79
<http://www.wikidata.org/prop/P1813> | Total Triples: 77
<http://www.wikidata.org/prop/P2563> | Total Triples: 77
<http://www.wikidata.org/prop/direct/P2563> | Total Triples: 77
