Private Entity,External URI,Confidence,Label
http://leagueoflegends.knowledge/champion/Katarina,http://www.wikidata.org/entity/Q16277703,0.5,Katarina
http://leagueoflegends.knowledge/champion/Kayle,http://www.wikidata.org/entity/Q54344836,0.5,Kayle
http://leagueoflegends.knowledge/champion/Kayn,http://www.wikidata.org/entity/Q98641231,0.5,Kayn
http://leagueoflegends.knowledge/champion/Kennen,http://www.wikidata.org/entity/Q100255165,0.95,Kennen
http://leagueoflegends.knowledge/champion/KhaZix,http://www.wikidata.org/entity/Q100255166,0.95,Kha'Zix
http://leagueoflegends.knowledge/champion/Kindred,http://www.wikidata.org/entity/Q21910389,0.5,Kindred
http://leagueoflegends.knowledge/champion/Kled,http://www.wikidata.org/entity/Q100255020,0.95,Kled
http://leagueoflegends.knowledge/champion/Kled_&_Skaarl,NOT_FOUND,0.0,Kled & Skaarl
http://leagueoflegends.knowledge/champion/KogMaw,http://www.wikidata.org/entity/Q100255167,0.95,Kog'Maw
http://leagueoflegends.knowledge/champion/KSante,http://www.wikidata.org/entity/Q114887798,0.95,K'Sante
http://leagueoflegends.knowledge/champion/LeBlanc,http://www.wikidata.org/entity/Q21428416,0.5,LeBlanc
http://leagueoflegends.knowledge/champion/Lee_Sin,http://www.wikidata.org/entity/Q100255024,0.95,Lee Sin
http://leagueoflegends.knowledge/champion/Leona,http://www.wikidata.org/entity/Q1129205,0.5,Leona
http://leagueoflegends.knowledge/champion/Lillia,http://www.wikidata.org/entity/Q16420442,0.5,Lillia
http://leagueoflegends.knowledge/champion/Lissandra,http://www.wikidata.org/entity/Q100255027,0.95,Lissandra
http://leagueoflegends.knowledge/champion/Lucian,http://www.wikidata.org/entity/Q20726133,0.8,Lucian
http://leagueoflegends.knowledge/champion/Lulu,http://www.wikidata.org/entity/Q18760841,0.5,Lulu
http://leagueoflegends.knowledge/champion/Lux,http://www.wikidata.org/entity/Q32,0.5,Lux
http://leagueoflegends.knowledge/champion/Malphite,http://www.wikidata.org/entity/Q100255032,0.95,Malphite
http://leagueoflegends.knowledge/champion/Malzahar,http://www.wikidata.org/entity/Q100255033,0.95,Malzahar
http://leagueoflegends.knowledge/champion/Maokai,http://www.wikidata.org/entity/Q100255034,0.95,Maokai
http://leagueoflegends.knowledge/champion/Master_Yi,http://www.wikidata.org/entity/Q100255035,0.95,Master Yi
http://leagueoflegends.knowledge/champion/Mega_Gnar,NOT_FOUND,0.0,Mega Gnar
http://leagueoflegends.knowledge/champion/Mel,http://www.wikidata.org/entity/Q3141,0.5,Mel
http://leagueoflegends.knowledge/champion/Milio,http://www.wikidata.org/entity/Q37227477,0.5,Milio
http://leagueoflegends.knowledge/champion/Miss_Fortune,http://www.wikidata.org/entity/Q100255036,0.95,Miss Fortune
http://leagueoflegends.knowledge/champion/Mordekaiser,http://www.wikidata.org/entity/Q100255037,0.95,Mordekaiser
http://leagueoflegends.knowledge/champion/Morgana,http://www.wikidata.org/entity/Q20000632,0.5,Morgana
http://leagueoflegends.knowledge/champion/Naafiri,NOT_FOUND,0.0,Naafiri
http://leagueoflegends.knowledge/champion/Nami,http://www.wikidata.org/entity/Q92000350,0.5,Nami
http://leagueoflegends.knowledge/champion/Nasus,http://www.wikidata.org/entity/Q100255040,0.95,Nasus
http://leagueoflegends.knowledge/champion/Nautilus,http://www.wikidata.org/entity/Q1324463,0.5,Nautilus
http://leagueoflegends.knowledge/champion/Neeko,http://www.wikidata.org/entity/Q100255042,0.95,Neeko
http://leagueoflegends.knowledge/champion/Nidalee,http://www.wikidata.org/entity/Q100255043,0.95,Nidalee
http://leagueoflegends.knowledge/champion/Nilah,http://www.wikidata.org/entity/Q113134227,0.95,Nilah
http://leagueoflegends.knowledge/champion/Nocturne,http://www.wikidata.org/entity/Q2287670,0.5,Nocturne
http://leagueoflegends.knowledge/champion/Nunu_&_Willump,http://www.wikidata.org/entity/Q100255168,0.95,Nunu & Willump
http://leagueoflegends.knowledge/champion/Olaf,http://www.wikidata.org/entity/Q3881452,0.5,Olaf
http://leagueoflegends.knowledge/champion/Orianna,http://www.wikidata.org/entity/Q100255049,0.95,Orianna
http://leagueoflegends.knowledge/champion/Ornn,http://www.wikidata.org/entity/Q100255051,0.95,Ornn
http://leagueoflegends.knowledge/champion/Pantheon,http://www.wikidata.org/entity/Q56342589,0.5,Pantheon
http://leagueoflegends.knowledge/champion/Poppy,http://www.wikidata.org/entity/Q235075,0.5,Poppy
http://leagueoflegends.knowledge/champion/Pyke,http://www.wikidata.org/entity/Q100255054,0.95,Pyke
http://leagueoflegends.knowledge/champion/Qiyana,http://www.wikidata.org/entity/Q100255055,0.95,Qiyana
http://leagueoflegends.knowledge/champion/Quinn,http://www.wikidata.org/entity/Q2123241,0.5,Quinn
http://leagueoflegends.knowledge/champion/Rakan,http://www.wikidata.org/entity/Q100255057,0.95,Rakan
http://leagueoflegends.knowledge/champion/Rammus,http://www.wikidata.org/entity/Q100255058,0.95,Rammus
http://leagueoflegends.knowledge/champion/RekSai,http://www.wikidata.org/entity/Q100255060,0.95,Rek'Sai
http://leagueoflegends.knowledge/champion/Rell,http://www.wikidata.org/entity/Q37035512,0.5,Rell
http://leagueoflegends.knowledge/champion/Renata_Glasc,http://www.wikidata.org/entity/Q113134263,0.95,Renata Glasc
http://leagueoflegends.knowledge/champion/Renekton,http://www.wikidata.org/entity/Q100255061,0.95,Renekton
http://leagueoflegends.knowledge/champion/Rengar,http://www.wikidata.org/entity/Q100255062,0.95,Rengar
http://leagueoflegends.knowledge/champion/Riven,http://www.wikidata.org/entity/Q100255063,0.95,Riven
http://leagueoflegends.knowledge/champion/Rumble,http://www.wikidata.org/entity/Q37495066,0.5,Rumble
http://leagueoflegends.knowledge/champion/Ryze,http://www.wikidata.org/entity/Q100255065,0.95,Ryze
http://leagueoflegends.knowledge/champion/Samira,http://www.wikidata.org/entity/Q1971074,0.5,Samira
http://leagueoflegends.knowledge/champion/Sejuani,http://www.wikidata.org/entity/Q100255066,0.95,Sejuani
http://leagueoflegends.knowledge/champion/Senna,http://www.wikidata.org/entity/Q100255067,0.95,Senna
http://leagueoflegends.knowledge/champion/Seraphine,http://www.wikidata.org/entity/Q20000638,0.5,Seraphine
http://leagueoflegends.knowledge/champion/Sett,http://www.wikidata.org/entity/Q486972,0.5,Sett
http://leagueoflegends.knowledge/champion/Shaco,http://www.wikidata.org/entity/Q100255070,0.95,Shaco
http://leagueoflegends.knowledge/champion/Shen,http://www.wikidata.org/entity/Q8686,0.5,Shen
http://leagueoflegends.knowledge/champion/Shyvana,http://www.wikidata.org/entity/Q100255073,0.95,Shyvana
http://leagueoflegends.knowledge/champion/Singed,http://www.wikidata.org/entity/Q100255074,0.95,Singed
http://leagueoflegends.knowledge/champion/Sion,http://www.wikidata.org/entity/Q68136,0.5,Sion
http://leagueoflegends.knowledge/champion/Sivir,http://www.wikidata.org/entity/Q100255077,0.95,Sivir
http://leagueoflegends.knowledge/champion/Skarner,http://www.wikidata.org/entity/Q100255169,0.95,Skarner
http://leagueoflegends.knowledge/champion/Smolder,http://www.wikidata.org/entity/Q954625,0.5,Smolder
http://leagueoflegends.knowledge/champion/Sona,http://www.wikidata.org/entity/Q16281674,0.5,Sona
http://leagueoflegends.knowledge/champion/Soraka,http://www.wikidata.org/entity/Q100255079,0.95,Soraka
http://leagueoflegends.knowledge/champion/Swain,http://www.wikidata.org/entity/Q7652992,0.5,Swain
http://leagueoflegends.knowledge/champion/Sylas,http://www.wikidata.org/entity/Q100255081,0.95,Sylas
http://leagueoflegends.knowledge/champion/Syndra,http://www.wikidata.org/entity/Q100255082,0.95,Syndra
http://leagueoflegends.knowledge/champion/Tahm_Kench,http://www.wikidata.org/entity/Q100255083,0.95,Tahm Kench
http://leagueoflegends.knowledge/champion/Taliyah,http://www.wikidata.org/entity/Q100255084,0.95,Taliyah
http://leagueoflegends.knowledge/champion/Talon,http://www.wikidata.org/entity/Q1872439,0.8,Talon
http://leagueoflegends.knowledge/champion/Taric,http://www.wikidata.org/entity/Q100255086,0.95,Taric
http://leagueoflegends.knowledge/champion/Teemo,http://www.wikidata.org/entity/Q100255087,0.95,Teemo
http://leagueoflegends.knowledge/champion/Thresh,http://www.wikidata.org/entity/Q100255088,0.95,Thresh
http://leagueoflegends.knowledge/champion/Tristana,http://www.wikidata.org/entity/Q100255089,0.95,Tristana
